id_household,id_person,is_worker,is_family,weekday,weekend_day,relationship_to_head,n_children_0_4,n_children_5_14,n_children_0_14,n_underage,n_adults_15_65,n_adults,n_time_reporters,n_workers,n_professionals,n_elderly,has_elderly,household_size,mean_age,has_children,in_couple,lives_with_partner,domestic_service,help_from_relatives,external_support,female,age,age_bracket,ses,education_level,in_education,employed,contracted_hours,usual_hours,work_days_per_week,quintile,macrozone,region,region_name,income_share,teleworks,work_schedule,employment_status,formality,cise,occupation_group,swb1,swb2,swb3,swb4,swb5,swb6,swb7,swb8,swb9,swb10,swb11,swb12,swb13,swb14,swb15,swb16,swb17,swb18,swb19,inc_main_job,inc_labor,inc_pension,inc_group,inc_household_total,inc_household_pc,inc_group_personal,inc_personal,household_income,inc_person_week,I,t_paid_work,t_care_essential,t_care_education_related,t_care_other,t_domestic_meals,t_domestic_cleaning,t_domestic_laundry,t_domestic_maintenance,t_domestic_admin,t_domestic_shopping,t_domestic_pets,t_voluntary_community,t_voluntary_households,t_personal_care,t_meals,t_sleep,t_education,t_leisure_social,t_leisure_hobbies,t_media_reading,t_media_video,t_media_audio,t_media_computer,t_commute_to,t_commute_ed,t_commute_cpaf_cp,t_commute_tdnr_admnhog,t_commute_tdnr_comphog,t_commute_tcnr_re,t_commute_tcnr_ce,t_commute_tcnr_oac,t_care_0_4,t_care_5_14,t_care_children_teens,t_care_15_65,t_care_66_plus,t_care_disability,tact_tto_ds,tact_tto_fds,tact_ted_ds,tact_ted_fds,tact_tcpaf_cp_ds,tact_tcpaf_cp_fds,tact_ttdnr_admnhog_ds,tact_ttdnr_admnhog_fds,tact_ttdnr_comphog_ds,tact_ttdnr_comphog_fds,tact_ttcnr_re_ds,tact_ttcnr_re_fds,tact_ttcnr_oac_health_ds,tact_ttcnr_oac_health_fds,tact_ttcnr_oac_work_ds,tact_ttcnr_oac_work_fds,tact_factor_sab,tact_factor_dom,tact_factor_ds,t_total,wage,savings,food,clothing,utilities,household_goods,health,transportation,communications,recreation,education_exp,restaurants,total_expenses
00001-1,00001-1-01,1,1,3,6,1,0,1,1,1,3,3,3,2,1,2,0,4,40,1,1,1,0,0,0,0,63,45-65,2,primaria,0,1,48,12,4,3,norte,4,Atacama,0.5,0,4,Ocupada(o),1,3,6,4,4,4,2,NA,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,200,200,0,0,400,100,0,200,400,100,0,48,0.98,0,0,1.56,4.87,0.34,0.08,0.03,2.91,2.48,0,0,3.46,12.58,59.50999999999999,0,3.18,0.19,0.02,10.08,3.9,0.09,11.56,0,0,0,2.18,0,0,0,0,0.98,0.98,0,0,0,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4922279792746116,1.1057795853418695,1.4014598540145986,168.00000000000003,4.166666666666667,20.08624695500997,58.88,4.43,28.35,9.15,10.12,24.12,17.97,10.67,4.31,11.91,179.91375304499002
00001-1,00001-1-03,1,0,3,6,3,0,1,1,1,3,3,3,2,1,2,1,4,40,0,0,0,0,0,0,1,28,25-44,2,técnica,0,1,45,9,5,3,norte,4,Atacama,0.5,0,3,Ocupada(o),1,3,1,4,4,4,1,NA,2,1,1,1,2,2,NA,NA,NA,NA,NA,3,3,1,200,200,0,0,0,0,0,200,400,100,0,45,7.53,0,0,2.89,5.05,2.45,0,1.1,0.63,1.16,0.43,0,7.46,10.64,50.77,0,2.76,0.01,0,10.34,0.01,11.11,8.6,0,0,0,0.06,0,0,0,0,7.53,7.53,0,0,0,45,NA,NA,NA,NA,NA,0.9507042253521126,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8999999999999999,1.1441835294996439,1.1408450704225352,168,4.444444444444445,20.08624695500997,58.88,4.43,28.35,9.15,10.12,24.12,17.97,10.67,4.31,11.91,179.91375304499002
00002-1,00002-1-01,1,0,4,7,1,0,0,0,0,1,1,1,1,0,0,0,1,51,0,0,0,0,0,0,1,51,45-65,1,secundaria,0,1,45,9,5,1,norte,5,Coquimbo,0,0,3,Ocupada(o),1,3,3,3,NA,NA,2,NA,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,5.77,5.68,0.93,0,0,5.02,4.11,0,0,3.63,9.99,49.06999999999999,0,7.75,0,0,9.87,0.1,5.84,7.77,0,0,0,7.47,0,0,0,0,0,0,0,0,0,45,NA,NA,NA,NA,NA,NA,NA,2.6834862385321103,NA,NA,NA,NA,NA,NA,NA,1.086133804896427,1.3980582524271843,0.7155963302752294,168,0,-0,0,0,0,0,0,0,0,0,0,0,0
00004-1,00004-1-02,0,0,1,6,2,0,1,1,1,3,3,3,0,3,0,0,4,31,1,1,1,0,0,0,1,43,25-44,3,técnica,0,0,0,0,0,4,norte,3,Antofagasta,0,0,NA,Inactiva(o),NA,NA,NA,5,3,3,NA,NA,2,3,2,1,3,2,NA,NA,NA,NA,NA,1,NA,1,0,0,0,0,0,0,0,0,500,125,0,0,0.98,7.6,0,8.44,10.62,9.63,0,0,0.09,12.5,0,0,7.46,11.16,57.37,0,7.36,0.09,4.69,12.67,0.09,17.17,0,0,0,0,0.08,0,0,0,0,8.57,8.57,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1162790697674418,1.234561190071386,0.878048780487805,168,NA,-0,0,0,0,0,0,0,0,0,0,0,0
00004-1,00004-1-04,0,0,1,6,3,0,1,1,1,3,3,3,0,3,0,0,4,31,0,0,0,0,0,0,0,14,12-24,3,primaria,1,0,0,0,0,4,norte,3,Antofagasta,0,0,NA,Menor de 15 años,NA,NA,NA,4,5,85,NA,1,3,85,2,1,1,85,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,500,125,0,0,0,0,0,2.24,1.07,0.18,0,0,0,2.67,0,0,3.33,6.7,52.19999999999998,0,32.24,35.2,0.54,29.95,0.05,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.391304347826087,1.1302982731554159,0.9795918367346939,168,NA,-0,0,0,0,0,0,0,0,0,0,0,0
00006-1,00006-1-01,0,0,3,7,1,0,0,0,0,1,3,3,0,1,2,0,3,58.666666666666664,0,1,1,0,0,0,0,74,66+,2,secundaria,0,0,0,0,0,4,norte,5,Coquimbo,0.7236842105263158,0,NA,Inactiva(o),NA,NA,NA,4,4,85,NA,NA,2,85,2,2,2,85,NA,NA,NA,NA,NA,NA,NA,NA,0,0,137.5,380,190,63.333333333333336,275,412.5,570,155,2070000,0,0,0,0.17,1.87,1.81,0,0,0,0.51,0.13,0,0,15.98,16.88,96.68,0,12.09,0,12.94,2.88,5.49,0,0,0,0,0,0.43,0,0,0.14,0,0,0,0,0.17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1646509039793858,1.476923076923077,1.5652173913043477,168,NA,94.3944333582458,90.41,6.3,55.66,24.51,35.54,33.18,29.16,18.08,4.65,20.62,318.1055666417542
00006-1,00006-1-02,0,0,3,7,2,0,0,0,0,1,3,3,0,1,2,0,3,58.666666666666664,0,1,1,0,0,0,1,74,66+,2,secundaria,0,0,0,0,0,4,norte,5,Coquimbo,0.27631578947368424,0,NA,Inactiva(o),NA,NA,NA,4,4,85,NA,NA,2,85,2,2,2,85,NA,NA,NA,NA,NA,NA,NA,NA,0,0,52.5,0,0,0,105.00000000000001,157.5,570,98.33333333333333,210000,0,0,0,0,21.82,8.52,1.09,0,0.18,0,2.02,0,0,11.46,10.08,66.52000000000001,0,31.76,0,6.61,1.91,6.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2521739130434781,1.180327868852459,1.0105263157894737,168,NA,36.041510918602945,34.52,2.41,21.25,9.36,13.57,12.67,11.13,6.9,1.77,7.87,121.45848908139706
00006-1,00006-1-03,0,0,3,7,4,0,0,0,0,1,3,3,0,1,2,1,3,58.666666666666664,0,0,0,0,0,0,0,28,25-44,2,universitaria,0,0,0,0,0,4,norte,5,Coquimbo,0,0,NA,Desocupada(o),NA,NA,NA,4,3,85,NA,NA,3,3,2,2,1,85,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,570,63.333333333333336,0,0,0,0,0,3.93,2.22,1.9,2.69,0,0.93,1.12,0,0,6.57,11.88,57.23,0,30.8,15.27,4.93,19.95,0.01,7.7,0,0,0,0,0.87,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.8555133079847909,NA,NA,NA,NA,NA,NA,NA,1.06398322216679,0.9028213166144201,1.0266159695817492,168,NA,0,0,0,0,0,0,0,0,0,0,0,0
00007-1,00007-1-01,1,1,2,7,1,0,1,1,1,3,3,3,3,1,0,0,4,33.25,1,1,1,0,0,0,0,50,45-65,1,primaria,0,1,60,10,6,3,norte,4,Atacama,0.3968253968253968,0,4,Ocupada(o),2,2,5,4,4,4,2,NA,2,2,2,2,1,2,NA,NA,NA,NA,NA,1,1,1,125,125,0,0,315,78.75,0,125,315,78.75,0,60,0,0,0,0.61,0.32,0,0,0,0.02,0.08,0,0,4.43,8,58.57999999999999,0,10.18,0.08,0.32,9.76,0,11.07,4.54,0,0,0,0.01,0,0,0,0,0,0,0,0,0,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9412397120538557,1.3610586011342156,1.1869031377899044,168.00000000000003,2.0833333333333335,-7.7738699646021185,40.06,3.68,21.58,6.19,6.1,19.66,13.4,8.75,3.17,10.19,132.7738699646021
00007-1,00007-1-02,1,0,2,7,3,0,1,1,1,3,3,3,3,1,0,0,4,33.25,0,0,0,0,0,0,0,28,25-44,1,secundaria,0,1,50,10,5,3,norte,4,Atacama,0.47619047619047616,0,4,Ocupada(o),1,3,3,4,4,4,2,NA,2,85,2,1,2,85,NA,NA,NA,NA,NA,NA,NA,NA,150,150,0,0,0,0,0,150,315,78.75,0,50,0,0,0.16,1.18,1.1,0.14,0,0.03,0.36,0.11,0,0,5.01,5.85,48.05000000000001,0,14.37,2.01,0.16,12.67,1.12,21.78,3.59,0,0,0,0.16,0,0,0.15,0,0,0,0.16,0,0,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0717123394964274,1.1900826446280992,0.8742331288343558,167.99999999999997,3,-9.328643957522543,48.07,4.42,25.89,7.43,7.32,23.59,16.08,10.5,3.8,12.23,159.32864395752253
00008-1,00008-1-01,1,0,2,7,1,0,0,0,0,2,2,2,1,1,0,0,2,53.5,0,1,1,0,0,0,0,56,45-65,1,técnica,0,1,45,9,5,3,centro,11,Biobío,1,0,3,Ocupada(o),1,2,1,4,4,NA,2,NA,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,300,300,0,0,300,150,0,300,300,150,0,45,0,0,0,1.85,0.81,0,2.03,0.38,1.73,0,0,0,5.91,15.56,50.91,0,14.57,0,0.58,15.86,0.51,7.36,4.11,0,0,0,0.83,0,0,0,0,0,0,0,0,0,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.936003187090852,1.051094890510949,0.9772727272727274,168,6.666666666666667,21.039966093171703,71.2,7.65,51.83,19.9,27,36.64,28.63,18.8,3.55,13.78,278.9600339068283
00008-1,00008-1-02,0,0,2,7,2,0,0,0,0,2,2,2,1,1,0,0,2,53.5,0,1,1,0,0,0,1,51,45-65,1,secundaria,0,0,0,0,0,3,centro,11,Biobío,0,0,NA,Inactiva(o),NA,NA,NA,4,4,NA,NA,NA,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,300,150,0,0,0,0,0,18.3,5.41,4.43,0,0.17,1.67,1.64,5,0,9.26,12,57.42,0,20.5,0.21,2.87,10.89,5.07,9.52,0,0,0,0,3.64,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1.6161616161616161,NA,NA,NA,NA,NA,NA,NA,1.0911308110231601,1.0588235294117647,0.9696969696969697,168,NA,0,0,0,0,0,0,0,0,0,0,0,0
00009-1,00009-1-01,0,0,1,7,1,0,1,1,1,4,4,3,0,1,0,0,5,35.8,1,0,0,0,0,0,1,33,25-44,1,secundaria,0,0,0,0,0,1,centro,8,Libertador General Bernardo O´Higgins,0,0,NA,Inactiva(o),NA,NA,NA,1,4,4,NA,NA,1,1,2,1,1,3,5,5,3,3,3,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,30.41,0,9.22,12.79,15.59,1.24,2.09,2.09,3.14,0.48,0,0,1.54,6.2,48.03999999999999,0,15.17,3.89,0,3.19,0.35,8.76,0,0,0,0,3.81,0,0,0,0,2.37,2.37,37.27,0,37.27,NA,NA,NA,NA,NA,NA,NA,NA,2.8571428571428568,NA,NA,NA,NA,NA,NA,NA,1.21927160375705,1.2914798206278029,1.1428571428571428,168,NA,-0,0,0,0,0,0,0,0,0,0,0,0
