"","folio","id_hogar","g.alimentos","g.vestimenta","g.cuentas","g.hogar","g.salud","g.transporte","g.comunicaciones","g.recreacion","g.educacion","g.restaurantes","total_expenses","savings","n_personas","macrozona","quintil","n_menores_0_5","n_menores_6_11","n_menores_12_17","n_trabajadores","edad_promedio","n_profesionales","income_person_week","ingreso_hogar","n_personas_cut","n_menores_0_5_cut","n_menores_6_11_cut","n_menores_12_17_cut","n_trabajadores_cut","n_profesionales_cut"
"1","1-1",1,106.591675714286,24.2642135714286,112.863755,30.4306925824176,173.855494505494,272.547128571429,26.120775,14.0604715384615,0.245735,35.2748324725275,796.254773956044,-633.261373956044,3,"sur",1,1,0,0,1,20,0,54.3311333333333,162.9934,3,0,0,0,1,0
"2","10-1",2,111.956356071429,12.5608082417582,164.098765,32.1567343406593,7.83857142857143,200.989010989011,72.959010989011,53.2447641117616,0,19.9948892857143,675.798910457915,-130.860160457915,3,"sur",4,0,0,0,2,50,0,181.64625,544.93875,3,0,0,0,2,0
"3","100-1",3,187.860425,10.263062967033,88.8096981318681,46.9906893956044,52.8601098901099,84.7128418681319,41.4709573626374,3.99902,0,22.3626857142857,539.32949032967,-226.92449032967,8,"metropolitana",3,1,2,2,2,20.875,0,39.050625,312.405,7,2,3,3,2,0
"4","1000-1",4,113.939384,4.65704811320755,132.4019,0,17.2547169811321,40.0551,11.21,3.59972485804473,0.61419,14.6929666666667,338.425030619051,-120.692315619051,4,"norte",2,0,0,2,2,28.5,0,54.43317875,217.732715,4,0,0,3,2,0
"5","10000-1",5,32.5378889285714,0.04543,34.2285971428571,3.89728714285714,0.196666666666667,9.089835,3.05384,2.76474,0,0.09322,85.9075048809524,64.3646101190476,3,"sur",1,0,1,0,0,35.6666666666667,0,50.090705,150.272115,3,1,1,0,0,0
"6","10001-1",6,14.3988025,2.63798076923077,4.425,0,8.27421510989011,4.38707142857143,12.4683168269231,3.2118125,0,7.68833214285714,57.4915312774725,-27.9915312774725,1,"sur",1,0,0,0,0,27,0,29.5,29.5,1,0,0,0,0,0
"7","10002-1",7,2.52857142857143,0,21.24,0,2.91758241758242,0,10.325,0.5133,0,0,37.5244538461538,10.3422461538462,3,"sur",1,1,0,0,0,20.6666666666667,0,15.9555666666667,47.8667,3,0,0,0,0,0
"8","10003-1",8,63.6402657142857,12.9375848351648,199.044338571429,47.483985347277,54.4389271978022,41.0472271428571,24.556095,20.1522391979503,23.35161,7.07582785714286,493.728100863909,-97.8381008639087,4,"sur",4,0,1,0,2,27.5,0,98.9725,395.89,4,1,1,0,2,0
"9","10004-1",9,21.1597178571429,0,48.3294804395604,24.0319060773481,34.0384615384615,5.90093133385951,0,1.30989400486092,0,20.0705357142857,154.840926965519,31.5990730344809,3,"sur",2,0,0,0,1,66,0,62.1466666666667,186.44,3,0,0,0,1,0
"10","10005-1",10,100.19321,18.5515288461538,156.382534285714,16.624111949487,9.17433791208791,39.7293466574586,22.7374460773481,12.3760178040014,0,67.2347175453828,443.003251077634,956.976183922366,3,"sur",5,0,1,0,1,33.3333333333333,0,466.659811666667,1399.979435,3,1,1,0,1,0
"11","10006-1",11,28.0930185714286,14.4980116483516,55.3518192857143,3.89762428571429,29.3415623076923,2.36531,11.32505,3.45248472937001,0,9.424955,157.749835828271,6.99320917172888,1,"sur",1,0,0,0,1,59,0,164.743045,164.743045,1,0,0,0,1,0
