"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_alimentos",0.620143235656577,NA,NA,NA,NA
"bnpersonas_alimentos",0.107287410306796,NA,NA,NA,NA
"bnmenores_0_4_alimentos",0.730444812126227,NA,NA,NA,NA
"bnmenores_5_14_alimentos",0.0723413694225293,NA,NA,NA,NA
"bnpersonas_15_65_alimentos",0.00173847606922534,NA,NA,NA,NA
"bntrabajadores_alimentos",0.359989016207515,NA,NA,NA,NA
"bnprofesionales_alimentos",-0.307279618209246,NA,NA,NA,NA
"bedadpromedio_alimentos",0.0646909516412495,NA,NA,NA,NA
"bq2_alimentos",-0.321207376644041,NA,NA,NA,NA
"bq3_alimentos",-0.82641446646966,NA,NA,NA,NA
"bq4_alimentos",-1.24151561764786,NA,NA,NA,NA
"bq5_alimentos",-2.17889508512078,NA,NA,NA,NA
"bnorte_alimentos",0.0106129722714461,NA,NA,NA,NA
"bcentro_alimentos",-0.0614308476203766,NA,NA,NA,NA
"bsur_alimentos",-0.191669191693072,NA,NA,NA,NA
"asc_vestimenta",-0.165805520575537,NA,NA,NA,NA
"bnpersonas_vestimenta",-0.140700871165354,NA,NA,NA,NA
"bnmenores_0_4_vestimenta",0.751474826082311,NA,NA,NA,NA
"bnmenores_5_14_vestimenta",0.185824258582972,NA,NA,NA,NA
"bnpersonas_15_65_vestimenta",-0.0712107347763231,NA,NA,NA,NA
"bntrabajadores_vestimenta",0.39343791441888,NA,NA,NA,NA
"bnprofesionales_vestimenta",-0.295921805122727,NA,NA,NA,NA
"bedadpromedio_vestimenta",0.039836243986407,NA,NA,NA,NA
"bq2_vestimenta",-0.112721623271418,NA,NA,NA,NA
"bq3_vestimenta",-0.527675531219065,NA,NA,NA,NA
"bq4_vestimenta",-0.768454984809466,NA,NA,NA,NA
"bq5_vestimenta",-1.47386456568143,NA,NA,NA,NA
"bnorte_vestimenta",-0.0761706490612258,NA,NA,NA,NA
"bcentro_vestimenta",0.121707494238663,NA,NA,NA,NA
"bsur_vestimenta",0.174092872189239,NA,NA,NA,NA
"asc_cuentas",1.76593919079917,NA,NA,NA,NA
"bnpersonas_cuentas",-0.110134042065308,NA,NA,NA,NA
"bnmenores_0_4_cuentas",0.800470094250212,NA,NA,NA,NA
"bnmenores_5_14_cuentas",0.0663552199900012,NA,NA,NA,NA
"bnpersonas_15_65_cuentas",-0.114005812347686,NA,NA,NA,NA
"bntrabajadores_cuentas",0.359126053923602,NA,NA,NA,NA
"bnprofesionales_cuentas",-0.13250465672548,NA,NA,NA,NA
"bedadpromedio_cuentas",0.0479403342700927,NA,NA,NA,NA
"bq2_cuentas",-0.28978961000565,NA,NA,NA,NA
"bq3_cuentas",-0.785480092385318,NA,NA,NA,NA
"bq4_cuentas",-1.09878051757251,NA,NA,NA,NA
"bq5_cuentas",-1.98371002229648,NA,NA,NA,NA
"bnorte_cuentas",-0.187002186086245,NA,NA,NA,NA
"bcentro_cuentas",-0.177214021329611,NA,NA,NA,NA
"bsur_cuentas",0.215368299304475,NA,NA,NA,NA
"asc_hogar",-0.436288375058996,NA,NA,NA,NA
"bnpersonas_hogar",-0.0707838202345713,NA,NA,NA,NA
"bnmenores_0_4_hogar",0.907244706575082,NA,NA,NA,NA
"bnmenores_5_14_hogar",0.142912086536035,NA,NA,NA,NA
"bnpersonas_15_65_hogar",-0.116721513714538,NA,NA,NA,NA
"bntrabajadores_hogar",0.306707925258775,NA,NA,NA,NA
"bnprofesionales_hogar",-0.0630492091945864,NA,NA,NA,NA
"bedadpromedio_hogar",0.0576756055543586,NA,NA,NA,NA
"bq2_hogar",-0.0556642267647279,NA,NA,NA,NA
"bq3_hogar",-0.357814247909211,NA,NA,NA,NA
"bq4_hogar",-0.536656693452832,NA,NA,NA,NA
"bq5_hogar",-0.99981307513553,NA,NA,NA,NA
"bnorte_hogar",-0.122967634761339,NA,NA,NA,NA
"bcentro_hogar",0.0288997759904697,NA,NA,NA,NA
"bsur_hogar",0.165334790486664,NA,NA,NA,NA
"asc_salud",-0.656651977480616,NA,NA,NA,NA
"bnpersonas_salud",-0.0485022697777075,NA,NA,NA,NA
"bnmenores_0_4_salud",0.817818747226996,NA,NA,NA,NA
"bnmenores_5_14_salud",0.0860670012645058,NA,NA,NA,NA
"bnpersonas_15_65_salud",-0.0322125264405992,NA,NA,NA,NA
"bntrabajadores_salud",0.257260667474053,NA,NA,NA,NA
"bnprofesionales_salud",-0.219681169009679,NA,NA,NA,NA
"bedadpromedio_salud",0.0674508615000652,NA,NA,NA,NA
"bq2_salud",0.0563047714671441,NA,NA,NA,NA
"bq3_salud",-0.30200903908701,NA,NA,NA,NA
"bq4_salud",-0.356891688164201,NA,NA,NA,NA
"bq5_salud",-0.905411492532804,NA,NA,NA,NA
"bnorte_salud",-0.279061392776334,NA,NA,NA,NA
"bcentro_salud",-0.031876466539239,NA,NA,NA,NA
"bsur_salud",-0.0141890021717157,NA,NA,NA,NA
"asc_transporte",0.365068396074593,NA,NA,NA,NA
"bnpersonas_transporte",-0.139952615845122,NA,NA,NA,NA
"bnmenores_0_4_transporte",0.810741104439501,NA,NA,NA,NA
