"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_alimentos",0.83989747340989,0.242697108086036,3.46068183520402,0.052391453738925,16.0311923695653
"bnpersonas_alimentos",0.252448476644527,0.0457127492157158,5.5224960426956,0.00951792479082919,26.5234788246875
"bnmenores_0_5_alimentos",-0.022263324436111,0.298085682677118,-0.0746876677744574,0.051850279978937,-0.429377130560431
"bnmenores_6_11_alimentos",-0.0926026302381849,0.233060616596262,-0.397332812341278,0.0408531667021603,-2.26671853649201
"bntrabajadores_alimentos",-0.00619180157937399,0.069263326883203,-0.0893950934498868,0.0142635938493578,-0.434098281594913
"bnprofesionales_alimentos",-0.0199203665647509,0.554417528198654,-0.035930261132749,0.0702447979740415,-0.28358493638365
"bedadpromedio_alimentos",0.0248761362039133,0.00348893745172883,7.13000348905272,0.000802855373736326,30.9845795615029
"bq2_alimentos",-0.203193321040025,0.142191556555008,-1.42901115905162,0.0327077239749513,-6.21239561626597
"bq3_alimentos",-0.28931312690857,0.153865304487532,-1.88030126656665,0.0321885411475305,-8.98807825997936
"bq4_alimentos",-0.456146631895996,0.161347969715939,-2.82709867808726,0.0338353507240285,-13.481362602577
"bq5_alimentos",-0.695307870137536,0.172729717594326,-4.0254096389513,0.034464005507352,-20.1749001574762
"bnorte_alimentos",0.0855376035133602,0.144499423003715,0.591958097377046,0.0307342368539742,2.78313738257989
"bcentro_alimentos",-0.179609580479132,0.122553447032394,-1.46556122922969,0.02585204577792,-6.9475964115975
"bsur_alimentos",-0.361576030936029,0.142916583369322,-2.52997953359724,0.0313384050806251,-11.5377930052852
"asc_vestimenta",0,NA,NA,NA,NA
"bnpersonas_vestimenta",0,NA,NA,NA,NA
"bnmenores_0_5_vestimenta",0,NA,NA,NA,NA
"bnmenores_6_11_vestimenta",0,NA,NA,NA,NA
"bntrabajadores_vestimenta",0,NA,NA,NA,NA
"bnprofesionales_vestimenta",0,NA,NA,NA,NA
"bedadpromedio_vestimenta",0,NA,NA,NA,NA
"bq2_vestimenta",0,NA,NA,NA,NA
"bq3_vestimenta",0,NA,NA,NA,NA
"bq4_vestimenta",0,NA,NA,NA,NA
"bq5_vestimenta",0,NA,NA,NA,NA
"bnorte_vestimenta",0,NA,NA,NA,NA
"bcentro_vestimenta",0,NA,NA,NA,NA
"bsur_vestimenta",0,NA,NA,NA,NA
"asc_cuentas",1.86370057040157,0.245467452259944,7.59245493951663,0.0592079777285425,31.4771867221389
"bnpersonas_cuentas",-0.00110967484894949,0.0468773899921082,-0.0236718564991844,0.0107107496754524,-0.103603844975736
"bnmenores_0_5_cuentas",-0.040650451036881,0.310821012805023,-0.130784114851273,0.0640494764738718,-0.634672651125631
"bnmenores_6_11_cuentas",-0.0628835106395036,0.243633558569547,-0.258106933251369,0.0504803936130232,-1.24570167026749
"bntrabajadores_cuentas",-0.0362492373348471,0.0708675034789681,-0.511507186726355,0.0161133490110487,-2.24964017784209
"bnprofesionales_cuentas",0.16247321036386,0.545959857387256,0.297591861682635,0.076803307834391,2.11544547943425
"bedadpromedio_cuentas",0.00954180633908018,0.00353727033892893,2.69750554094472,0.000890204890161679,10.7186631353454
"bq2_cuentas",-0.17635643283921,0.144437940763079,-1.22098412582942,0.0354369037806317,-4.97663209886859
"bq3_cuentas",-0.256417062834594,0.156696432452133,-1.63639375078257,0.035901483599612,-7.14224140969388
"bq4_cuentas",-0.32366364379975,0.164045702266125,-1.97300898059909,0.0372584990511031,-8.68697483910501
"bq5_cuentas",-0.506225587981772,0.175714308100985,-2.88095826374503,0.0380191502151873,-13.3150158569182
"bnorte_cuentas",-0.114726891829888,0.148190213906081,-0.774186694288729,0.0343205108319976,-3.34280839791367
"bcentro_cuentas",-0.301646078271999,0.125349389448396,-2.40644234167715,0.028843454578013,-10.4580426542229
"bsur_cuentas",0.037376200117961,0.143018935108145,0.26133742423476,0.0334724020438585,1.11662736570227
"asc_hogar",-0.312733200088356,0.289077751600525,-1.08183074746105,0.0655986530322441,-4.76737228026064
"bnpersonas_hogar",0.057087807178839,0.0541591733668531,1.05407456631859,0.0112895649765819,5.05668795008993
"bnmenores_0_5_hogar",0.0464976691466812,0.361652726998204,0.128569939269149,0.0685827469779731,0.677979101093966
"bnmenores_6_11_hogar",-0.0576046531135211,0.283714390434132,-0.203037473796715,0.0543935646608466,-1.05903434482914
"bntrabajadores_hogar",-0.0966041689592829,0.0816101103316125,-1.18372795437653,0.0173040245028644,-5.58275729113143
"bnprofesionales_hogar",0.24160452104486,0.576040142645913,0.419423063009295,0.105198631979881,2.29665078811165
"bedadpromedio_hogar",0.0183996107258593,0.00406397842362149,4.52748730625962,0.00104606497552852,17.5893574073283
"bq2_hogar",0.0519598395577677,0.170388288465957,0.304949594984335,0.0414990888451872,1.25207181660312
"bq3_hogar",0.161210342708883,0.183206295200057,0.87993888273787,0.0406588064217694,3.9649551203394
